id,name,brand,category,form,timing,serving_desc,image_url,price,buy_url,rating
40,루테인 오메가3 눈건강,종근당건강,비타민,캡슐,식후,1일 1캡슐,,25900,,4.5
41,루테인 비타민A,GNM자연의품격,비타민,캡슐,식후,1일 1캡슐,,16900,,4.3
42,엽산 400,솔가,비타민,정제,식후,1일 1정,,12900,,4.6
43,메틸엽산 활성형,나우푸드,비타민,정제,식후,1일 1정,,14900,,4.6
44,임팩트 웨이 프로틴,마이프로틴,단백질,분말,운동후,1회 1스쿱,,42900,,4.5
45,골드스탠다드 WPI,옵티멈뉴트리션,단백질,분말,운동후,1회 1스쿱,,58900,,4.7
46,식물성 프로틴,가든오브라이프,단백질,분말,운동후,1회 1스쿱,,49900,,4.4
47,산양유 단백질,뉴트리코어,단백질,분말,식간,1회 1스쿱,,39900,,4.3
48,프리네이탈 철분 엽산,솔가,복합,정제,식후,1일 1정,,25900,,4.6
49,센트룸 프리네이탈,센트룸,복합,정제,식후,1일 1정,,29900,,4.5
50,루테인 지아잔틴 플러스,라이프익스텐션,비타민,캡슐,식후,1일 1캡슐,,27900,,4.7
51,저분자콜라겐 펩타이드,종근당건강,콜라겐,분말,식후,1일 1포,,25900,,4.5
52,콜라겐 트리펩타이드,뉴트리코어,콜라겐,정제,식후,1일 2정,,28900,,4.4
53,비오틴 5000,솔가,비타민,캡슐,식후,1일 1캡슐,,15900,,4.7
54,비오틴 5000mcg,나우푸드,비타민,캡슐,식후,1일 1캡슐,,13900,,4.6
55,비오틴 판토텐산 모발,GNM자연의품격,비타민,정제,식후,1일 1정,,17900,,4.3
56,MSM 식이유황,나우푸드,관절,정제,식후,1일 2정,,21900,,4.6
57,글루코사민 콘드로이친,닥터스베스트,관절,정제,식후,1일 2정,,27900,,4.5
58,관절엔 MSM 글루코사민,종근당건강,관절,정제,식후,1일 2정,,29900,,4.4
59,밀크씨슬 실리마린,솔가,간건강,캡슐,식후,1일 1캡슐,,19900,,4.6
60,실리마린 밀크씨슬,나우푸드,간건강,캡슐,식후,1일 1캡슐,,22900,,4.6
61,코엔자임Q10 100,닥터스베스트,기능성,캡슐,식후,1일 1캡슐,,32900,,4.7
62,코큐텐 90,종근당건강,기능성,캡슐,식후,1일 1캡슐,,28900,,4.5
63,콜라겐 비타민C 이너뷰티,캘리포니아골드뉴트리션,콜라겐,분말,식후,1일 1포,,26900,,4.6
64,이너뷰티 콜라겐 비오틴,GNM자연의품격,콜라겐,정제,식후,1일 2정,,24900,,4.4
